YEAR,DEST,Germany,Italy,France,Spain,Austria,Sweden,Belgium,Greece,Hungary,Norway,Ireland,United Kingdom,Iceland,Switzerland,Netherlands,Finland,Poland,Luxembourg,Bulgaria,Malta,Romania,Denmark,Portugal,Lithuania,Czech Republic,The Netherlands,Slovakia,Slovenia,Cyprus,Latvia,Croatia,Estonia,Frontex
2021,Egypt,39,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Ethiopia,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Ethiopia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Ethiopia,20,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Gambia,8.5,0.5,2.5,7,4,0,0,0,0,0,2.5,17.5,0,3.5,2,0,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
2009,Gambia,3.5,0,0,0,6.5,1.5,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Gambia,3.5,0,0,0,6,0.5,0,0.5,0,0.5,10.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,Gambia,3,0,0,0,6,1,0,0,0.5,7,0,0,0,0,0,2.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
2017,Gambia,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Gambia,85,4,0,0,12,2,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,Gambia,36,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gambia,19,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gambia,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Georgia,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Georgia,0,0,3,2,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Georgia,1,0,8,20,20,3.5,0,11,0,0,4.5,2,0,14,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Georgia,21.5,0,13,42.5,20,3,0,19,0,1,0,0,0,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,Georgia,0,0,2.5,37,19,2.5,0,2,4.5,2,6.5,0,0,4,0,0,13,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
2012,Georgia,18,11.5,16,47,43,7.5,0,0,2,4,13,0,0,3.5,0,0,5,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0
2013,Georgia,23,3,12,28.5,8.5,8,0,23,2,1,3.5,0,0,4,2,0,21,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,Georgia,17.5,0,14.5,32,5,8,0,6,0,0.5,0,0,0,3,1,0.5,20,0,0,0,0,4,0,7.5,0,0,0,0,0,0,0,0,0
2015,Georgia,54,15.5,6.5,54.5,2,34,0,9.5,0,0,0,0,4,14,0,0,6,0,6,0,0,0,0,8.5,0,0,0,0,0,0,0,0.5,0
2016,Georgia,200.5,0,0,50,43,29,11.5,36.5,3,0,0,0,1,7,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2017,Georgia,327,0,0,66,64,20,6,48,5,0,0,0,28,9,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,Georgia,803,0,34,42,128,4,8,15,0,0,0,0,36,13,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2019,Georgia,751,8,141,113,48,16,2,0,0,0,12,0,10,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Georgia,726,33,81,36,84,14,0,34,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,Georgia,926,37,63,67,35,15,0,36,0,0,0,0,6,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2007,Ghana,6,1,0,2.5,0,0,0,0,0,0,0,0,0,3,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ghana,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Ghana,0,0,1.5,0,0.5,0.5,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ghana,3,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Ghana,4,0,0,0,0,1,3,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
