ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-00988,Germany,Congo DR,1,DEU
RO-00988,Hungary,Congo DR,1,HUN
RO-00988,Switzerland,Congo DR,2,CHE
RO-00988,Netherlands,Guinea,2,NLD
RO-01008,France,Georgia,21,FRA
RO-00970,Austria,Nigeria,35,AUT
RO-00970,Bulgaria,Nigeria,2,BGR
RO-00970,Germany,Nigeria,10,DEU
RO-00970,Hungary,Nigeria,3,HUN
RO-00970,Switzerland,Nigeria,4,CHE
RO-01175,Italy,Tunisia,18,ITA
RO-01079,Germany,North Macedonia,28,DEU
RO-01118,Germany,Russia,49,DEU
RO-01118,Sweden,Russia,1,SWE
RO-01239,Italy,Tunisia,32,ITA
RO-01105,France,Georgia,2,FRA
RO-01105,Germany,Georgia,41,DEU
RO-01105,Italy,Georgia,3,ITA
RO-01169,Germany,Nigeria,33,DEU
RO-01310,Spain,Mauritania,28,ESP
RO-00858,Austria,Nigeria,27,AUT
RO-00858,Austria,Gambia,2,AUT
RO-00858,France,Nigeria,3,FRA
RO-00858,Germany,Nigeria,21,DEU
RO-00858,Sweden,Nigeria,1,SWE
RO-00858,Sweden,Gambia,1,SWE
RO-00858,Switzerland,Nigeria,3,CHE
RO-00933,Finland,Colombia,5,FIN
RO-00933,Spain,Colombia,56,ESP
RO-00933,Spain,Dominican Republic,9,ESP
RO-00957,Germany,Ghana,15,DEU
RO-01006,Austria,Armenia,9,AUT
RO-01006,Austria,Mongolia,6,AUT
RO-01006,Switzerland,Armenia,4,CHE
RO-01006,Switzerland,Mongolia,1,CHE
RO-01081,Italy,Tunisia,26,ITA
RO-01032,Germany,North Macedonia,60,DEU
RO-01035,Germany,Moldova,10,DEU
RO-01035,Germany,Serbia,32,DEU
RO-01092,Spain,Albania,18,ESP
RO-01092,Spain,Georgia,18,ESP
RO-01114,Italy,Tunisia,29,ITA
RO-01089,Germany,Afghanistan,31,DEU
RO-01129,France,Albania,20,FRA
RO-01184,Germany,Turkey,3,DEU
RO-01050,Bulgaria,Afghanistan,2,BGR
RO-01050,Sweden,Afghanistan,27,SWE
RO-00951,Italy,Tunisia,16,ITA
RO-00942,Germany,Turkey,4,DEU
RO-00939,Germany,Pakistan,30,DEU
RO-00967,Germany,Bangladesh,27,DEU
RO-00996,Spain,Albania,32,ESP
RO-00996,Spain,Georgia,14,ESP
RO-01005,Germany,Bosnia and Herzegovina,25,DEU
RO-01005,Germany,Moldova,26,DEU
RO-01020,Belgium,Albania,5,BEL
RO-01020,France,Albania,18,FRA
RO-01044,Austria,Russia,11,AUT
RO-01059,Austria,Afghanistan,17,AUT
RO-01059,Bulgaria,Afghanistan,2,BGR
RO-01059,Sweden,Afghanistan,25,SWE
RO-01072,France,Georgia,13,FRA
RO-00971,Austria,Nigeria,27,AUT
RO-00971,Germany,Nigeria,16,DEU
RO-00971,Hungary,Nigeria,1,HUN
RO-00971,Switzerland,Nigeria,3,CHE
RO-01077,Germany,Tunisia,21,DEU
RO-01154,Germany,Cameroon,1,DEU
RO-01249,Germany,Turkey,4,DEU
RO-01268,Italy,Tunisia,30,ITA
RO-01260,Germany,Armenia,34,DEU
RO-00885,Germany,Montenegro,34,DEU
RO-00889,Germany,North Macedonia,64,DEU
RO-00889,Germany,Serbia,56,DEU
RO-00905,Belgium,Albania,5,BEL
RO-00905,France,Albania,22,FRA
RO-00907,Germany,Gambia,15,DEU
RO-01007,France,Albania,15,FRA
RO-01003,Germany,North Macedonia,21,DEU
RO-01003,Germany,Serbia,48,DEU
RO-01147,Italy,Tunisia,26,ITA
RO-01140,Spain,Albania,32,ESP
RO-01140,Spain,Georgia,18,ESP
RO-01140,Sweden,Georgia,3,SWE
RO-01177,Italy,Tunisia,34,ITA
RO-01152,Germany,Pakistan,32,DEU
RO-01152,Italy,Pakistan,5,ITA
RO-01152,Sweden,Pakistan,2,SWE
RO-01189,Germany,Egypt,15,DEU
RO-01218,Belgium,Albania,5,BEL
RO-01218,France,Albania,31,FRA
RO-01230,Germany,Ukraine,47,DEU
RO-00857,Austria,Nigeria,19,AUT
RO-00857,Germany,Nigeria,10,DEU
RO-00857,Germany,Gambia,1,DEU
RO-00857,Italy,Gambia,7,ITA
RO-00857,Norway,Nigeria,1,NOR
RO-00857,Sweden,Nigeria,4,SWE
RO-00857,Sweden,Gambia,1,SWE
RO-00857,Switzerland,Nigeria,2,CHE
RO-00993,Italy,Nigeria,34,ITA
RO-00953,Germany,North Macedonia,75,DEU
RO-00953,Germany,Serbia,72,DEU
RO-01046,Belgium,Albania,4,BEL
RO-01046,France,Albania,29,FRA
