ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,N_MONITORS_POOL,FX_CONTRIB,n
RO-01434,NRO,56,0,58,57,1,0,0,1,0,65256.62,2
RO-01435,NRO,57,0,57,56,1,0,0,1,0,67341.85,2
RO-01436,JRO,46,0,70,68,2,0,0,1,0,133938.55,2
RO-01437,JRO,35,0,75,72,3,0,0,1,0,209241.46,2
RO-01438,CRO,38,0,21,19,2,0,0,1,0,109659.62,2
RO-01439,NRO,76,0,76,75,1,0,0,1,0,173951.04,2
RO-01441,CRO,41,0,21,18,1,0,2,1,0,119485.26,2
RO-01442,NRO,20,0,34,33,1,0,0,0,0,58478.5,2
RO-01443,NRO,53,0,32,31,1,0,0,0,0,61392.49,2
RO-01444,NRO,22,0,72,71,1,0,0,1,0,109068.74,2
RO-01446,NRO,9,0,44,43,1,0,0,1,0,54682.75,2
RO-01448,JRO,35,0,67,65,2,0,0,0,2,91758.5,2
RO-01454,JRO,46,0,46,44,2,0,0,1,0,155569.26,2
RO-01456,NRO,20,0,54,52,2,0,0,0,0,43430,2
RO-01457,NRO,36,0,43,42,1,0,0,0,0,64241.81,2
RO-01458,CRO,50,0,21,18,1,0,2,1,0,134724.84,2
RO-01460,JRO,47,0,72,67,5,0,0,1,0,140316.41,2
RO-01461,NRO,20,0,50,49,1,0,0,0,0,35348.99,2
RO-01462,NRO,23,0,47,46,1,0,0,0,0,75907.56,2
RO-01463,NRO,3,0,3,2,1,0,0,0,0,5959,2
RO-01464,NRO,5,0,12,11,1,0,0,0,0,47470,2
RO-01465,NRO,20,0,33,32,1,0,0,0,0,58478.5,2
RO-01466,JRO,38,0,62,60,2,0,0,1,0,75144.83,2
RO-01467,NRO,19,0,51,49,2,0,0,0,0,44036,2
RO-01468,NRO,30,0,92,90,2,0,0,0,0,49793,2
RO-01469,NRO,47,0,47,46,1,0,0,0,0,52935.24,2
RO-01470,NRO,25,0,40,38,1,0,1,0,0,59797.05,2
RO-01471,NRO,18,0,40,39,1,0,0,0,0,74522.85,2
RO-01472,NRO,18,0,45,43,2,0,0,0,0,33833.99,2
RO-01474,NRO,18,0,50,48,2,0,0,0,0,34744,2
RO-01475,NRO,20,0,47,45,2,0,0,0,0,33229,2
RO-01478,NRO,63,0,46,45,1,0,0,1,0,133620.33,2
RO-01479,JRO,53,0,89,87,2,0,0,1,0,220218.13,2
RO-01480,NRO,39,0,93,91,2,0,0,0,0,37875,2
RO-01481,NRO,5,0,11,10,1,0,0,0,0,47167,2
RO-01482,NRO,4,0,10,9,1,0,0,0,0,43041.15,2
RO-01484,NRO,37,0,91,88,3,0,0,0,0,41864.5,2
RO-01485,NRO,25,0,41,40,1,0,0,0,0,59834.93,2
RO-01486,NRO,21,0,44,43,1,0,0,0,0,67916.95,2
RO-01487,NRO,25,0,40,39,1,0,0,0,0,67258.43,2
RO-01489,NRO,35,0,96,94,2,0,0,0,0,45448.99,2
RO-01490,NRO,37,0,90,88,2,0,0,0,0,41399.9,2
RO-01491,NRO,30,0,66,65,1,0,0,1,0,96885.32,2
RO-01492,CRO,25,0,35,34,1,0,0,1,0,52731.12,2
RO-01493,CRO,24,0,43,42,1,0,0,1,0,52645.01,2
RO-01494,NRO,35,0,93,91,2,0,0,0,0,42418.99,2
RO-01495,NRO,30,0,89,87,2,0,0,0,0,43924.9,2
